,B1,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,CLD,SCL,Newala_cluster,datetime,day of year,month,ndvi,target,year,evi
2015,0.176825,0.43945,0.2996499999999999,0.169575,0.1873999999999999,0.198675,0.2546,0.3287,0.361075,0.3763499999999999,0.40955,0.414125,0.0,4.0,Newala DC 03-03,2022-09-04 07:43:02,247.0,9.0,0.3467055777056189,1.0,2022.0,0.47428674246258
2016,0.1671,0.4456,0.32355,0.1659,0.1849,0.200075,0.2466749999999999,0.3011749999999999,0.329975,0.3393,0.3712499999999999,0.37315,0.0,4.0,Newala DC 03-03,2022-10-04 07:42:57,277.0,10.0,0.2996105544129873,1.0,2022.0,0.3995168687493434
5186,0.1652499999999999,0.433775,0.3359999999999999,0.1732749999999999,0.2045249999999999,0.19885,0.27295,0.3762999999999999,0.4209,0.448725,0.450275,0.38065,0.0,4.25,Newala DC 03-03,2022-12-28 07:42:49,362.0,12.0,0.3873290968611593,1.0,2022.0,0.5456271701388888
6052,0.168575,0.43115,0.33565,0.177825,0.196425,0.2029999999999999,0.256525,0.3126,0.34435,0.34915,0.377175,0.37565,0.0,4.5,Newala DC 03-03,2022-12-28 07:42:49,362.0,12.0,0.30021114318955505,1.0,2022.0,0.4059360943435804
6053,0.167125,0.4251999999999999,0.3148749999999999,0.1677,0.185075,0.20315,0.2417249999999999,0.3073,0.335725,0.3440999999999999,0.374325,0.4014,0.0,4.5,Newala DC 03-03,2022-09-04 07:43:02,247.0,9.0,0.29641975843110097,1.0,2022.0,0.40009115557217656
6054,0.163875,0.433375,0.3398,0.16755,0.1854,0.1916749999999999,0.2453499999999999,0.2964249999999999,0.32855,0.32175,0.3592499999999999,0.3581,0.0,4.5,Newala DC 03-03,2022-12-28 07:42:49,362.0,12.0,0.3041702591096793,1.0,2022.0,0.39089562509476433
6055,0.171525,0.4580249999999999,0.325075,0.164175,0.19085,0.1988249999999999,0.257275,0.31845,0.350425,0.37875,0.3959499999999999,0.3901,0.0,4.5,Newala DC 03-03,2022-10-14 07:42:54,287.0,10.0,0.33142785086797544,1.0,2022.0,0.448944965097874
6056,0.177975,0.507475,0.363775,0.178375,0.2018,0.2135,0.2783,0.342675,0.384075,0.419425,0.4346,0.428625,0.0,4.5,Newala DC 03-03,2022-10-19 07:42:49,292.0,10.0,0.34115105693565806,1.0,2022.0,0.496029075245659
6057,0.17245,0.481875,0.33535,0.166325,0.197,0.2082,0.27425,0.33935,0.3671,0.401125,0.41745,0.39215,0.0,4.5,Newala DC 03-03,2022-10-24 07:42:53,297.0,10.0,0.33445216974346675,1.0,2022.0,0.47335203366058887
6058,0.164825,0.5165500000000001,0.379525,0.172975,0.2037,0.22385,0.2876999999999999,0.33665,0.374625,0.409125,0.4274,0.4161999999999999,0.0,4.5,Newala DC 03-03,2022-11-08 07:42:49,312.0,11.0,0.312552783109405,1.0,2022.0,0.4661628306423909
6059,0.1659,0.5119,0.365275,0.166625,0.195625,0.219375,0.278325,0.331925,0.363375,0.39605,0.413875,0.404625,0.0,4.5,Newala DC 03-03,2022-11-13 07:42:53,317.0,11.0,0.30714567706277146,1.0,2022.0,0.4482341418447889
6060,0.195825,0.5356749999999999,0.401175,0.1942,0.2173,0.2285999999999999,0.28685,0.33075,0.3702,0.3933,0.415675,0.396425,0.0,4.5,Newala DC 03-03,2022-12-18 07:42:49,352.0,12.0,0.2903651391098524,1.0,2022.0,0.4359604763347396
6061,0.168175,0.463525,0.348375,0.1775999999999999,0.2003,0.202925,0.266825,0.319525,0.352875,0.3738249999999999,0.396075,0.36375,0.0,4.5,Newala DC 03-03,2022-12-28 07:42:49,362.0,12.0,0.32245409015025045,1.0,2022.0,0.44231980305719365
6062,0.1699,0.4589749999999999,0.35565,0.169425,0.187525,0.2076,0.265425,0.350725,0.38705,0.391675,0.4269,0.4171249999999999,0.0,4.5,Newala DC 03-03,2022-09-04 07:43:02,247.0,9.0,0.3456264775413711,1.0,2022.0,0.4914836396234872
6063,0.17215,0.50925,0.401225,0.178675,0.20145,0.2274,0.2885,0.35025,0.3794,0.391,0.4193249999999999,0.3985999999999999,0.0,4.5,Newala DC 03-03,2022-10-14 07:42:54,287.0,10.0,0.29676446712281096,1.0,2022.0,0.44500220269424273
6064,0.174525,0.504675,0.39665,0.1808,0.208725,0.231825,0.308525,0.3852,0.41775,0.4458749999999999,0.454175,0.393525,0.0,4.5,Newala DC 03-03,2022-12-03 07:42:50,337.0,12.0,0.3241253644314869,1.0,2022.0,0.5024007230412924
6065,0.1775749999999999,0.5251,0.42905,0.1904,0.2231,0.23655,0.3123249999999999,0.392125,0.4357499999999999,0.4538,0.471225,0.400775,0.0,4.5,Newala DC 03-03,2022-12-18 07:42:49,352.0,12.0,0.3315672353502172,1.0,2022.0,0.5255172877104981
6066,0.17125,0.460925,0.34295,0.16815,0.188425,0.203625,0.25665,0.321025,0.345575,0.365975,0.39165,0.411975,0.0,4.5,Newala DC 03-03,2022-10-14 07:42:54,287.0,10.0,0.3158624165301751,1.0,2022.0,0.43275371992128603
6067,0.185275,0.5038750000000001,0.3833999999999999,0.184525,0.2063,0.2237,0.28005,0.344425,0.3881749999999999,0.40335,0.433175,0.455575,0.0,4.5,Newala DC 03-03,2022-10-19 07:42:49,292.0,10.0,0.31889628924833485,1.0,2022.0,0.4771096686026648
6068,0.174275,0.483425,0.355125,0.1669,0.192475,0.2131999999999999,0.267375,0.3338,0.3615,0.380575,0.410175,0.43305,0.0,4.5,Newala DC 03-03,2022-10-24 07:42:53,297.0,10.0,0.315981552035292,1.0,2022.0,0.45162214834346
6069,0.178275,0.443,0.33025,0.164425,0.1877,0.206125,0.24805,0.309575,0.333575,0.35715,0.374475,0.383675,0.0,4.5,Newala DC 03-03,2022-10-04 07:42:57,277.0,10.0,0.28995866345160176,1.0,2022.0,0.395081140067822
6070,0.16655,0.447625,0.33345,0.163875,0.1849,0.203125,0.248925,0.304975,0.327975,0.355075,0.369475,0.3799,0.0,4.5,Newala DC 03-03,2022-10-14 07:42:54,287.0,10.0,0.2905169402724415,1.0,2022.0,0.39057088855757605
6071,0.172125,0.50135,0.3773749999999999,0.1799249999999999,0.2012,0.22395,0.274475,0.330325,0.3716,0.395475,0.418375,0.421175,0.0,4.5,Newala DC 03-03,2022-10-19 07:42:49,292.0,10.0,0.30268944848791496,1.0,2022.0,0.44903921659199036
6072,0.1765,0.4625,0.3348,0.1751249999999999,0.194275,0.2063999999999999,0.26725,0.31195,0.33725,0.34945,0.38245,0.38545,0.0,4.5,Newala DC 03-03,2022-10-04 07:42:57,277.0,10.0,0.29897257366052504,1.0,2022.0,0.41023908281679666
6073,0.178225,0.5064,0.3708,0.189125,0.2121,0.22045,0.293075,0.3419999999999999,0.377675,0.382975,0.419975,0.408675,0.0,4.5,Newala DC 03-03,2022-12-18 07:42:49,352.0,12.0,0.31155092321505246,1.0,2022.0,0.4579202239970623
6074,0.168825,0.4231749999999999,0.3115,0.18095,0.197875,0.196575,0.2681,0.32815,0.360525,0.3697249999999999,0.401775,0.39555,0.0,4.5,Newala DC 03-03,2022-12-28 07:42:49,362.0,12.0,0.3429430935071447,1.0,2022.0,0.46345126647318546
