,B1,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,CLD,SCL,mtwara_cluster,datetime,day of year,month,ndvi,target,year,evi
20,0.14945,0.4746,0.342175,0.1569,0.188325,0.1962999999999999,0.270475,0.360025,0.4065499999999999,0.4352999999999999,0.4513999999999999,0.4516249999999999,0.0,4.0,Mtwara DC 01-11,2022-11-08 07:42:46,312.0,11.0,0.39385517986722257,1.0,2022.0,0.5512338476165781
21,0.1493999999999999,0.437925,0.30915,0.1501,0.1747,0.1825,0.249475,0.3167,0.348875,0.3747499999999999,0.39435,0.40125,0.0,4.0,Mtwara DC 01-11,2022-11-13 07:42:50,317.0,11.0,0.36725318540348445,1.0,2022.0,0.4726262716401928
22,0.155475,0.301575,0.22505,0.1466,0.156175,0.15985,0.2017749999999999,0.246575,0.271925,0.26825,0.303125,0.3095,0.0,4.0,Mtwara DC 01-11,2022-11-18 07:42:47,322.0,11.0,0.309465953885199,1.0,2022.0,0.3368481685240043
23,0.1419,0.44465,0.330675,0.149975,0.172975,0.18645,0.250625,0.323525,0.3613,0.3892,0.405275,0.4050249999999999,0.0,4.0,Mtwara DC 01-11,2022-11-28 07:42:46,332.0,11.0,0.36980861041869106,1.0,2022.0,0.4860185678749112
24,0.14105,0.3732,0.28575,0.142925,0.158625,0.159225,0.21395,0.279075,0.307775,0.30865,0.335675,0.35195,0.0,4.0,Mtwara DC 01-11,2022-12-28 07:42:46,362.0,12.0,0.3565366740755708,1.0,2022.0,0.402178991874366
25,0.135375,0.27625,0.20875,0.14045,0.15535,0.150775,0.1994749999999999,0.270175,0.2937,0.31355,0.3102,0.333975,0.0,4.0,Mtwara DC 01-11,2022-12-28 07:42:46,362.0,12.0,0.3458430500569445,1.0,2022.0,0.3676648639922511
26,0.148225,0.443175,0.34695,0.150225,0.183,0.2148999999999999,0.26175,0.35665,0.388625,0.4056999999999999,0.4221749999999999,0.41415,0.0,4.0,Mtwara DC 01-11,2022-10-04 07:42:54,277.0,10.0,0.32535415767374337,1.0,2022.0,0.47115450185256735
27,0.165025,0.476225,0.378775,0.171825,0.1997749999999999,0.2288,0.285825,0.3939,0.442725,0.4602,0.48285,0.472025,0.0,4.0,Mtwara DC 01-11,2022-10-09 07:42:45,282.0,10.0,0.3569872830745451,1.0,2022.0,0.5572982933356732
28,0.152975,0.0,0.37145,0.1619,0.193225,0.2240499999999999,0.278225,0.372325,0.415425,0.4326,0.0,0.0,0.0,4.0,Mtwara DC 01-11,2022-10-19 07:42:46,292.0,10.0,-1.0,1.0,2022.0,-0.8436570395752525
29,0.1299499999999999,0.4913499999999999,0.39365,0.144575,0.18255,0.21315,0.2919,0.396425,0.448825,0.4694,0.493875,0.445875,0.0,4.0,Mtwara DC 01-11,2022-12-18 07:42:46,352.0,12.0,0.39705102365545775,1.0,2022.0,0.5977196269641867
