,B1,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,CLD,SCL,Nanyamba_cluster,datetime,day of year,month,ndvi,target,year
1375,0.1569,0.4212249999999999,0.31595,0.15525,0.186475,0.192725,0.263675,0.367525,0.410625,0.42035,0.446425,0.43465,0.0,4.0,Nanyamba TC 05-12,2022-11-28 07:42:46,332.0,11.0,0.3712841006402153,1.0,2022.0
1376,0.1689,0.400425,0.302175,0.154675,0.18735,0.1867249999999999,0.2578249999999999,0.357825,0.388375,0.3979999999999999,0.432075,0.4255,0.0,4.0,Nanyamba TC 05-12,2022-12-03 07:42:47,337.0,12.0,0.3613236991748259,1.0,2022.0
1377,0.159075,0.224125,0.1793499999999999,0.1452999999999999,0.1541,0.14955,0.183675,0.235825,0.254625,0.2487999999999999,0.2749,0.2675,0.0,4.0,Nanyamba TC 05-12,2022-12-13 07:42:47,347.0,12.0,0.2491527551148486,1.0,2022.0
1378,0.153175,0.3522499999999999,0.251925,0.1533,0.18135,0.1745,0.2444749999999999,0.357825,0.3992,0.3980999999999999,0.4362,0.420325,0.0,4.0,Nanyamba TC 05-12,2022-12-18 07:42:46,352.0,12.0,0.3904994760740481,1.0,2022.0
1379,0.157375,0.40685,0.294775,0.15695,0.1839,0.1929,0.250625,0.346825,0.39,0.41325,0.432025,0.421725,0.0,4.0,Nanyamba TC 05-12,2022-09-04 07:42:59,247.0,9.0,0.3635238802276664,1.0,2022.0
1380,0.1869,0.460025,0.3344749999999999,0.1765499999999999,0.202675,0.20955,0.2775499999999999,0.3873999999999999,0.4286,0.4463999999999999,0.47425,0.4665,0.0,4.0,Nanyamba TC 05-12,2022-09-24 07:42:54,267.0,9.0,0.361079350560256,1.0,2022.0
1381,0.1861749999999999,0.382575,0.2765,0.1760749999999999,0.196775,0.200925,0.255025,0.3379,0.3722,0.38965,0.40385,0.397175,0.0,4.0,Nanyamba TC 05-12,2022-10-14 07:42:51,287.0,10.0,0.3195614443550777,1.0,2022.0
1382,0.1425,0.3843,0.2703,0.146175,0.170725,0.1721,0.23815,0.3527,0.395375,0.4098,0.43855,0.4206499999999999,0.0,4.0,Nanyamba TC 05-12,2022-09-04 07:42:59,247.0,9.0,0.4084894311737412,1.0,2022.0
1383,0.1795,0.460325,0.3278,0.187825,0.2173,0.2182,0.288975,0.4206749999999999,0.481,0.4949,0.5303,0.5056499999999999,0.0,4.0,Nanyamba TC 05-12,2022-09-19 07:42:48,262.0,9.0,0.3880241200392651,1.0,2022.0
1384,0.1936749999999999,0.459425,0.328225,0.189575,0.2213999999999999,0.2312,0.29455,0.395825,0.443475,0.474,0.49155,0.4650749999999999,0.0,4.0,Nanyamba TC 05-12,2022-10-14 07:42:51,287.0,10.0,0.344299489506523,1.0,2022.0
1385,0.172225,0.482525,0.3568,0.18785,0.2182499999999999,0.22765,0.305325,0.417475,0.47085,0.5043,0.518375,0.475425,0.0,4.0,Nanyamba TC 05-12,2022-10-29 07:42:46,302.0,10.0,0.3779629756130883,1.0,2022.0
1386,0.150175,0.415125,0.32665,0.1572,0.1901,0.20105,0.269275,0.370975,0.40645,0.42015,0.4463749999999999,0.417275,0.0,4.0,Nanyamba TC 05-12,2022-09-04 07:42:59,247.0,9.0,0.3527044430135223,1.0,2022.0
1387,0.1820999999999999,0.491875,0.3824,0.187725,0.2241,0.2349,0.31325,0.4386,0.484775,0.4891999999999999,0.52585,0.481225,0.0,4.0,Nanyamba TC 05-12,2022-09-24 07:42:54,267.0,9.0,0.3511945863830961,1.0,2022.0
1388,0.148275,0.40615,0.340675,0.1508749999999999,0.192325,0.1891,0.275625,0.3752999999999999,0.4146249999999999,0.4262,0.4389,0.390875,0.0,4.0,Nanyamba TC 05-12,2022-11-28 07:42:46,332.0,11.0,0.3853404843165936,1.0,2022.0
